date,total_length,number_of_rides,zip_code
2023-07-10,1043,100,07310
2023-07-11,839,87,07310
2023-07-12,977,96,07310
2023-07-13,814,81,07310
2023-07-14,768,76,07310
2023-07-15,983,81,07310
2023-07-16,1111,47,07310
2023-07-17,1282,83,07310
2023-07-18,517,68,07310
2023-07-19,597,78,07310
2023-07-20,1598,72,07310
2023-07-21,830,82,07310
2023-07-22,1133,78,07310
2023-07-23,1723,116,07310
2023-07-24,1000,94,07310
2023-07-25,671,83,07310
2023-07-26,1065,109,07310
2023-07-27,1100,106,07310
2023-07-28,1344,130,07310
2023-07-29,1295,95,07310
2023-07-30,1686,113,07310
2023-07-31,1697,125,07310
2023-08-01,1164,110,07310
2023-08-02,1026,107,07310
2023-08-03,728,88,07310
2023-08-04,1161,116,07310
2023-08-05,1605,100,07310
2023-08-06,1406,90,07310
2023-08-07,720,83,07310
2023-08-08,989,101,07310
2023-08-09,878,89,07310
2023-08-10,555,67,07310
2023-08-11,1223,113,07310
2023-08-12,1504,113,07310
2023-08-13,1799,101,07310
2023-08-14,1117,111,07310
2023-08-15,748,96,07310
2023-08-16,1074,94,07310
2023-08-17,808,89,07310
2023-08-18,1109,95,07310
2023-08-19,2873,64,07310
2023-08-20,1433,97,07310
2023-08-21,774,87,07310
2023-08-22,1276,115,07310
2023-08-23,986,102,07310
2023-08-24,594,70,07310
2023-08-25,789,81,07310
2023-08-26,1078,98,07310
2023-08-27,1178,92,07310
2023-08-28,1126,89,07310
2023-08-29,943,104,07310
2023-08-30,1596,83,07310
2023-08-31,2815,86,07310
2023-09-01,1716,116,07310
2023-09-02,888,66,07310
2023-09-03,2004,84,07310
2023-09-04,1191,85,07310
2023-09-05,989,93,07310
2023-09-06,694,98,07310
2023-09-07,1232,102,07310
2023-09-08,2304,93,07310
2023-09-09,869,62,07310
2023-09-10,426,37,07310
2023-09-11,746,81,07310
2023-09-12,1083,98,07310
2023-09-17,100,5,07310
2023-09-18,75,9,07310
2023-09-19,1843,48,07310
2023-09-20,944,70,07310
2023-09-21,544,59,07310
2023-09-24,14,2,07310
2023-09-25,1342,23,07310
2023-09-26,456,51,07310
2023-09-27,769,83,07310
2023-09-28,586,74,07310
2023-09-29,210,26,07310
2023-09-30,806,68,07310
2023-10-01,2336,66,07310
2023-10-02,1491,90,07310
2023-10-03,1544,86,07310
2023-10-04,784,85,07310
2023-10-05,832,89,07310
2023-10-06,804,92,07310
2023-10-07,620,45,07310
2023-10-08,758,52,07310
2023-10-09,596,63,07310
2023-10-10,702,84,07310
2023-10-11,704,84,07310
2023-10-12,678,82,07310
2023-10-13,826,86,07310
2023-10-14,182,15,07310
2023-10-15,766,48,07310
2023-10-16,591,78,07310
2023-10-17,560,72,07310
2023-10-18,484,71,07310
2023-10-19,2537,83,07310
2023-10-20,288,40,07310
2023-10-21,746,41,07310
2023-10-22,470,45,07310
2023-10-23,876,76,07310
2023-10-24,531,69,07310
2023-10-25,546,78,07310
2023-10-26,810,86,07310
2023-10-27,1003,102,07310
2023-10-28,1282,84,07310
2023-10-29,326,24,07310
2023-10-30,548,65,07310
2023-10-31,2065,67,07310
